token_symbol,price_date,rate_usd,rate_inr,source
ETH,2026-09-14,3350.0,280000.0,OFFLINE_DAILY_INDEX
ETH,2026-09-15,3360.0,280000.0,OFFLINE_DAILY_INDEX
ETH,2026-09-16,3380.0,280000.0,OFFLINE_DAILY_INDEX
ETH,2026-09-17,3370.0,280000.0,OFFLINE_DAILY_INDEX
ETH,2026-09-18,3390.0,280000.0,OFFLINE_DAILY_INDEX
ETH,2026-09-19,3400.0,280000.0,OFFLINE_DAILY_INDEX
BTC,2026-09-14,64000.0,5350000.0,OFFLINE_DAILY_INDEX
BTC,2026-09-19,65500.0,5470000.0,OFFLINE_DAILY_INDEX
USDT,2026-09-19,1.0,83.5,OFFLINE_DAILY_INDEX
USDC,2026-09-19,1.0,83.5,OFFLINE_DAILY_INDEX
